Fecha,Equipo Local,Equipo Visitante,Goles Local,Goles Visitante,Estado
2023-01-25T01:00:00+00:00,Bucaramanga,Envigado,0,0,Match Finished
2023-01-25T20:10:00+00:00,Union Magdalena,Huila,2,1,Match Finished
2023-01-25T22:20:00+00:00,Rionegro Aguilas,Junior,1,1,Match Finished
2023-01-26T21:00:00+00:00,Chico,Alianza Petrolera,2,0,Match Finished
2023-01-27T01:20:00+00:00,Atletico Nacional,Once Caldas,1,0,Match Finished
2023-01-27T22:20:00+00:00,Jaguares,Santa Fe,2,2,Match Finished
2023-01-27T23:10:00+00:00,Deportes Tolima,America de Cali,2,1,Match Finished
2023-01-28T20:10:00+00:00,Envigado,La Equidad,1,1,Match Finished
2023-01-28T22:20:00+00:00,Huila,Bucaramanga,1,2,Match Finished
2023-01-29T20:10:00+00:00,Atletico Nacional,Rionegro Aguilas,0,0,Match Finished
2023-01-29T22:20:00+00:00,Deportivo Pereira,Millonarios,2,3,Match Finished
2023-01-30T00:30:00+00:00,Junior,Independiente Medellin,1,1,Match Finished
2023-01-31T01:10:00+00:00,Once Caldas,Deportes Tolima,1,1,Match Finished
2023-01-31T21:00:00+00:00,Chico,Jaguares,1,0,Match Finished
2023-02-01T23:10:00+00:00,America de Cali,Union Magdalena,4,0,Match Finished
2023-02-03T23:00:00+00:00,Deportivo Pereira,Huila,2,1,Match Finished
2023-02-04T20:30:00+00:00,Independiente Medellin,Santa Fe,1,1,Match Finished
2023-02-04T22:45:00+00:00,Jaguares,Atletico Nacional,2,1,Match Finished
2023-02-05T01:00:00+00:00,Deportivo Pasto,America de Cali,2,4,Match Finished
2023-02-05T20:15:00+00:00,Deportivo Cali,Once Caldas,0,0,Match Finished
2023-02-05T22:30:00+00:00,Bucaramanga,Junior,1,0,Match Finished
2023-02-06T00:45:00+00:00,Union Magdalena,Envigado,1,1,Match Finished
2023-02-06T23:00:00+00:00,Rionegro Aguilas,Deportes Tolima,4,2,Match Finished
2023-02-09T23:05:00+00:00,Junior,Union Magdalena,0,0,Match Finished
2023-02-10T23:00:00+00:00,Alianza Petrolera,Huila,2,0,Match Finished
2023-02-11T01:10:00+00:00,Jaguares,Bucaramanga,1,1,Match Finished
2023-02-11T19:00:00+00:00,Envigado,Independiente Medellin,2,1,Match Finished
2023-02-12T01:30:00+00:00,America de Cali,La Equidad,1,1,Match Finished
2023-02-12T19:00:00+00:00,Chico,Deportivo Pereira,3,1,Match Finished
2023-02-12T23:20:00+00:00,Once Caldas,Rionegro Aguilas,1,2,Match Finished
2023-02-13T01:10:00+00:00,Atletico Nacional,Deportivo Cali,1,1,Match Finished
2023-02-15T01:00:00+00:00,Santa Fe,Deportivo Pasto,0,2,Match Finished
2023-02-16T01:00:00+00:00,La Equidad,Independiente Medellin,2,1,Match Finished
2023-02-18T01:00:00+00:00,Huila,Deportes Tolima,0,0,Match Finished
2023-02-18T19:00:00+00:00,Envigado,Alianza Petrolera,0,0,Match Finished
2023-02-18T21:10:00+00:00,Independiente Medellin,America de Cali,0,1,Match Finished
2023-02-19T01:30:00+00:00,Deportivo Pasto,Junior,1,0,Match Finished
2023-02-19T19:00:00+00:00,Deportivo Pereira,Once Caldas,3,1,Match Finished
2023-02-19T21:10:00+00:00,La Equidad,Santa Fe,0,1,Match Finished
2023-02-19T23:20:00+00:00,Millonarios,Jaguares,2,1,Match Finished
2023-02-20T00:30:00+00:00,Bucaramanga,Atletico Nacional,1,1,Match Finished
2023-02-21T01:05:00+00:00,Deportivo Cali,Rionegro Aguilas,1,1,Match Finished
2023-02-25T01:00:00+00:00,Rionegro Aguilas,Bucaramanga,1,0,Match Finished
2023-02-25T21:00:00+00:00,Junior,La Equidad,1,0,Match Finished
2023-02-26T01:20:00+00:00,America de Cali,Envigado,1,0,Match Finished
2023-02-26T19:00:00+00:00,Santa Fe,Union Magdalena,0,0,Match Finished
2023-02-26T21:10:00+00:00,Once Caldas,Millonarios,1,0,Match Finished
2023-02-26T23:10:00+00:00,Jaguares,Deportivo Pereira,2,0,Match Finished
2023-02-27T01:30:00+00:00,Alianza Petrolera,Independiente Medellin,0,1,Match Finished
2023-02-27T22:00:00+00:00,Atletico Nacional,Huila,3,1,Match Finished
2023-02-27T23:00:00+00:00,Chico,Deportivo Pasto,1,1,Match Finished
2023-02-27T23:20:00+00:00,Deportes Tolima,Deportivo Cali,1,2,Match Finished
2023-03-01T23:00:00+00:00,Deportivo Cali,Deportivo Pereira,0,1,Match Finished
2023-03-04T01:10:00+00:00,Bucaramanga,Once Caldas,0,1,Match Finished
2023-03-04T19:00:00+00:00,La Equidad,Alianza Petrolera,1,1,Match Finished
2023-03-04T21:10:00+00:00,Envigado,Santa Fe,3,2,Match Finished
2023-03-05T01:30:00+00:00,Independiente Medellin,Rionegro Aguilas,3,0,Match Finished
2023-03-05T20:30:00+00:00,Millonarios,Deportivo Cali,2,0,Match Finished
2023-03-05T22:40:00+00:00,Deportivo Pasto,Atletico Nacional,0,1,Match Finished
2023-03-05T23:20:00+00:00,Union Magdalena,Jaguares,1,1,Match Finished
2023-03-06T00:50:00+00:00,Deportivo Pereira,Deportes Tolima,1,1,Match Finished
2023-03-07T01:00:00+00:00,Huila,Chico,3,2,Match Finished
2023-03-10T01:00:00+00:00,Alianza Petrolera,Deportivo Pasto,3,1,Match Finished
2023-03-11T00:40:00+00:00,Jaguares,Huila,1,2,Match Finished
2023-03-11T21:00:00+00:00,Deportivo Cali,Bucaramanga,1,1,Match Finished
2023-03-12T01:20:00+00:00,Chico,Independiente Medellin,2,0,Match Finished
2023-03-12T21:00:00+00:00,Rionegro Aguilas,Deportivo Pereira,2,1,Match Finished
2023-03-12T23:10:00+00:00,Atletico Nacional,Millonarios,0,0,Match Finished
2023-03-13T01:20:00+00:00,Alianza Petrolera,Union Magdalena,2,1,Match Finished
2023-03-13T23:10:00+00:00,Junior,Envigado,1,2,Match Finished
2023-03-14T01:10:00+00:00,Once Caldas,Deportivo Pasto,0,1,Match Finished
2023-03-14T23:00:00+00:00,Deportes Tolima,La Equidad,1,0,Match Finished
2023-03-15T01:10:00+00:00,Santa Fe,America de Cali,2,0,Match Finished
2023-03-18T01:00:00+00:00,Deportivo Pereira,Atletico Nacional,0,2,Match Finished
2023-03-18T19:00:00+00:00,Envigado,Chico,0,1,Match Finished
2023-03-18T21:10:00+00:00,La Equidad,Union Magdalena,0,0,Match Finished
2023-03-19T01:30:00+00:00,Junior,Santa Fe,1,1,Match Finished
2023-03-19T20:30:00+00:00,America de Cali,Alianza Petrolera,1,0,Match Finished
2023-03-19T22:45:00+00:00,Millonarios,Rionegro Aguilas,2,2,Match Finished
2023-03-19T23:20:00+00:00,Deportivo Pasto,Deportivo Cali,2,1,Match Finished
2023-03-20T01:00:00+00:00,Independiente Medellin,Jaguares,1,0,Match Finished
2023-03-21T01:20:00+00:00,Huila,Once Caldas,2,1,Match Finished
2023-03-21T23:10:00+00:00,Bucaramanga,Deportes Tolima,1,1,Match Finished
2023-03-22T15:15:00+00:00,Santa Fe,Deportivo Cali,3,0,Match Finished
2023-03-23T01:00:00+00:00,Millonarios,Deportivo Pasto,2,0,Match Finished
2023-03-23T23:00:00+00:00,La Equidad,Chico,2,2,Match Finished
2023-03-24T01:10:00+00:00,America de Cali,Junior,2,0,Match Finished
2023-03-25T01:10:00+00:00,Rionegro Aguilas,Envigado,1,0,Match Finished
2023-03-25T19:00:00+00:00,Once Caldas,Deportivo Pereira,1,1,Match Finished
2023-03-25T21:10:00+00:00,Alianza Petrolera,Bucaramanga,2,0,Match Finished
2023-03-26T01:30:00+00:00,Deportes Tolima,Huila,2,1,Match Finished
2023-03-26T20:15:00+00:00,Union Magdalena,Junior,2,2,Match Finished
2023-03-26T22:20:00+00:00,Atletico Nacional,Independiente Medellin,1,1,Match Finished
2023-03-27T00:45:00+00:00,Santa Fe,Millonarios,1,2,Match Finished
2023-03-27T22:30:00+00:00,Deportivo Cali,America de Cali,1,1,Match Finished
2023-03-28T01:05:00+00:00,Jaguares,Deportivo Pasto,0,1,Match Finished
2023-03-29T01:15:00+00:00,Chico,La Equidad,3,1,Match Finished
2023-03-30T01:00:00+00:00,Deportes Tolima,Millonarios,1,1,Match Finished
2023-03-31T23:00:00+00:00,Deportivo Pasto,Deportivo Pereira,0,0,Match Finished
2023-04-01T01:10:00+00:00,Santa Fe,Chico,1,0,Match Finished
2023-04-01T19:00:00+00:00,Envigado,Once Caldas,0,0,Match Finished
2023-04-01T21:10:00+00:00,Independiente Medellin,Deportes Tolima,1,1,Match Finished
2023-04-02T01:30:00+00:00,Bucaramanga,Millonarios,0,2,Match Finished
2023-04-02T21:00:00+00:00,America de Cali,Jaguares,0,0,Match Finished
2023-04-02T23:20:00+00:00,La Equidad,Atletico Nacional,0,0,Match Finished
2023-04-03T01:20:00+00:00,Huila,Deportivo Cali,1,0,Match Finished
2023-04-03T23:10:00+00:00,Union Magdalena,Rionegro Aguilas,3,1,Match Finished
2023-04-04T01:10:00+00:00,Junior,Alianza Petrolera,1,0,Match Finished
2023-04-07T22:00:00+00:00,Rionegro Aguilas,Huila,2,1,Match Finished
2023-04-08T19:00:00+00:00,Once Caldas,Union Magdalena,1,1,Match Finished
2023-04-08T21:10:00+00:00,Jaguares,Envigado,2,0,Match Finished
2023-04-09T01:30:00+00:00,Millonarios,Independiente Medellin,2,1,Match Finished
2023-04-09T19:00:00+00:00,Deportivo Pereira,Bucaramanga,1,1,Match Finished
2023-04-09T23:20:00+00:00,Deportivo Cali,La Equidad,0,0,Match Finished
2023-04-10T23:00:00+00:00,Atletico Nacional,Junior,0,1,Match Finished
2023-04-10T23:20:00+00:00,Alianza Petrolera,Santa Fe,3,1,Match Finished
2023-04-11T01:05:00+00:00,Deportes Tolima,Deportivo Pasto,3,1,Match Finished
2023-04-11T21:00:00+00:00,La Equidad,Once Caldas,4,1,Match Finished
2023-04-12T01:20:00+00:00,America de Cali,Rionegro Aguilas,1,3,Match Finished
2023-04-12T20:30:00+00:00,Union Magdalena,Deportivo Pereira,0,3,Match Finished
2023-04-12T23:10:00+00:00,Huila,Millonarios,1,1,Match Finished
2023-04-13T01:00:00+00:00,Independiente Medellin,Deportivo Cali,3,0,Match Finished
2023-04-13T20:30:00+00:00,Envigado,Deportes Tolima,2,1,Match Finished
2023-04-13T23:00:00+00:00,Deportivo Pasto,Bucaramanga,1,0,Match Finished
2023-04-14T01:10:00+00:00,Junior,Chico,1,1,Match Finished
2023-04-15T01:05:00+00:00,Alianza Petrolera,Jaguares,3,0,Match Finished
2023-04-15T23:00:00+00:00,Deportivo Cali,Union Magdalena,2,1,Match Finished
2023-04-16T01:10:00+00:00,Deportivo Pereira,Santa Fe,2,2,Match Finished
2023-04-16T19:00:00+00:00,Bucaramanga,Independiente Medellin,1,2,Match Finished
2023-04-16T21:10:00+00:00,Deportes Tolima,Junior,0,1,Match Finished
2023-04-17T01:30:00+00:00,Rionegro Aguilas,Chico,2,0,Match Finished
2023-04-18T00:40:00+00:00,Huila,Deportivo Pasto,1,1,Match Finished
2023-04-18T23:00:00+00:00,Once Caldas,Alianza Petrolera,1,2,Match Finished
